,group,recommend,typeNames,method,location,overallScore
0,Abalone,BEST CHOICE,Abalone Awabi,Indoor flowthrough tank,Worldwide,6.95
1,Abalone,BEST CHOICE,Abalone Awabi,Enclosed bottom culture,Worldwide,6.95
2,Abalone,BEST CHOICE,Abalone Awabi,Outdoor flowthrough tank,Worldwide,6.95
3,Abalone,BEST CHOICE,Abalone Awabi,Off-bottom culture,Worldwide,6.95
4,Abalone,GOOD ALTERNATIVE,Abalone Awabi,Open bottom culture,Worldwide,6.24
5,Abalone,,"Abalone, Brownlip             Awabi",Miscellaneous gear,Marine Stewardship Council Certified Fisheries (Eastern Indian Ocean),10.0
6,Abalone,,"Abalone, Greenlip             Awabi",Miscellaneous gear,Marine Stewardship Council Certified Fisheries (Eastern Indian Ocean),10.0
7,Abalone,,"Abalone, Roe's             Awabi",Miscellaneous gear,Marine Stewardship Council Certified Fisheries (Eastern Indian Ocean),10.0
0,Amberjack,BEST CHOICE,"Amberjack, Almaco Jack Amberjack, Buri, Hamachi, Kahala, Hawaiian Kanpachi, Pacific Amberjack, Yellowtail",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
1,Amberjack,BEST CHOICE,"Amberjack, Buri Amberjack, Hamachi, Kanpachi, Japanese Amberjack, Japanese Yellowtail",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
2,Amberjack,BEST CHOICE,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
3,Amberjack,BEST CHOICE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
4,Amberjack,GOOD ALTERNATIVE,"Amberjack, Almaco Jack Amberjack, Buri, Hamachi, Kahala, Hawaiian Kanpachi, Pacific Amberjack, Yellowtail",Marine net pen,"U.S. - Hawaii, Eastern Central Pacific Ocean",6.78
5,Amberjack,GOOD ALTERNATIVE,"Amberjack, Almaco Jack Amberjack, Buri, Hamachi, Kahala, Hawaiian Kanpachi, Pacific Amberjack, Yellowtail",Marine net pen,Mexico - Eastern Central Pacific Ocean,5.73
6,Amberjack,GOOD ALTERNATIVE,"Amberjack, Almaco Jack Amberjack, Buri, Hamachi, Kahala, Hawaiian Kanpachi, Pacific Amberjack, Yellowtail",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
7,Amberjack,GOOD ALTERNATIVE,"Amberjack, Buri Amberjack, Hamachi, Kanpachi, Japanese Amberjack, Japanese Yellowtail",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
8,Amberjack,GOOD ALTERNATIVE,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",Handlines and hand-operated pole-and-lines,U.S. - Western Central Atlantic Ocean (except U.S. Gulf of Mexico),2.7239999999999998
9,Amberjack,GOOD ALTERNATIVE,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",Diving,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,2.9589999999999996
10,Amberjack,GOOD ALTERNATIVE,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",Diving,U.S. - Western Central Atlantic Ocean (except U.S. Gulf of Mexico),2.76
11,Amberjack,GOOD ALTERNATIVE,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",Handlines and hand-operated pole-and-lines,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,2.7769999999999997
12,Amberjack,GOOD ALTERNATIVE,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
13,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",Set gillnets,"U.S. - California, Eastern Central Pacific Ocean",2.25
14,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",Drift gillnets,"U.S. - California, Eastern Central Pacific Ocean",2.35
15,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",Handlines and hand-operated pole-and-lines,"U.S. - California, Eastern Central Pacific Ocean",3.42
16,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",Trolling lines,Mexico - Eastern Central Pacific Ocean,2.674
17,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",Handlines and hand-operated pole-and-lines,Mexico - Eastern Central Pacific Ocean: Gulf of California,2.674
