,group,recommend,typeNames,method,location,overallScore
0,Abalone,BEST CHOICE,Abalone Awabi,Indoor flowthrough tank,Worldwide,6.95
1,Abalone,BEST CHOICE,Abalone Awabi,Enclosed bottom culture,Worldwide,6.95
2,Abalone,BEST CHOICE,Abalone Awabi,Outdoor flowthrough tank,Worldwide,6.95
3,Abalone,BEST CHOICE,Abalone Awabi,Off-bottom culture,Worldwide,6.95
4,Abalone,GOOD ALTERNATIVE,Abalone Awabi,Open bottom culture,Worldwide,6.24
0,Amberjack,BEST CHOICE,"Amberjack, Almaco Jack Amberjack, Buri, Hamachi, Kahala, Hawaiian Kanpachi, Pacific Amberjack, Yellowtail",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
1,Amberjack,BEST CHOICE,"Amberjack, Buri Amberjack, Hamachi, Kanpachi, Japanese Amberjack, Japanese Yellowtail",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
2,Amberjack,BEST CHOICE,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
3,Amberjack,BEST CHOICE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
4,Amberjack,GOOD ALTERNATIVE,"Amberjack, Almaco Jack Amberjack, Buri, Hamachi, Kahala, Hawaiian Kanpachi, Pacific Amberjack, Yellowtail",Marine net pen,"U.S. - Hawaii, Eastern Central Pacific Ocean",6.78
6,Amberjack,GOOD ALTERNATIVE,"Amberjack, Almaco Jack Amberjack, Buri, Hamachi, Kahala, Hawaiian Kanpachi, Pacific Amberjack, Yellowtail",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
7,Amberjack,GOOD ALTERNATIVE,"Amberjack, Buri Amberjack, Hamachi, Kanpachi, Japanese Amberjack, Japanese Yellowtail",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
12,Amberjack,GOOD ALTERNATIVE,"Amberjack, Greater Amberjack, Atlantic Amberjack, Buri, Kanpachi, Yellowtail",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
20,Amberjack,GOOD ALTERNATIVE,"Amberjack, Yellowtail Amberjack, Buri, Hamachi, Kanpachi",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
0,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",Raceways,Iceland,6.78
1,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",Raceways,U.S.,6.72
3,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",Raceways,Canada,6.72
5,Arctic Char,BEST CHOICE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
6,Arctic Char,GOOD ALTERNATIVE,"Arctic Char                         Alpine Char, Alpine Trout, Char, Common Char, Iwana, Sea Trout",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
0,Bass,BEST CHOICE,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
1,Bass,BEST CHOICE,"Bass, Sunshine                         Bass, Hybrid Striped Bass, Hybrid White Bass, Suzuki",Tanks,U.S.,7.17
2,Bass,BEST CHOICE,"Bass, Sunshine                         Bass, Hybrid Striped Bass, Hybrid White Bass, Suzuki",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
3,Bass,BEST CHOICE,"Bass, Sunshine                         Bass, Hybrid Striped Bass, Hybrid White Bass, Suzuki",Ponds,U.S.,6.9
4,Bass,GOOD ALTERNATIVE,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",Marine net pen,Mexico - Eastern Central Pacific Ocean,6.11
5,Bass,GOOD ALTERNATIVE,"Bass, Striped                         Greenhead, Linesides, Rockfish, Striper, Suzuki",Indoor recirculating tank (Without wastewater treatment),Worldwide,6.63
7,Bass,GOOD ALTERNATIVE,"Bass, Sunshine                         Bass, Hybrid Striped Bass, Hybrid White Bass, Suzuki",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
0,Bream,BEST CHOICE,"Bream, Gilthead                         Bream, Giltheaded Seabream, Silver Seabream",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
2,Bream,GOOD ALTERNATIVE,"Bream, Gilthead                         Bream, Giltheaded Seabream, Silver Seabream",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
5,Catfish,BEST CHOICE,"Catfish, Channel                         Catfish",Ponds,U.S.,7.62
