,group,best,good,avoid,meanGroupScore,numScored,numUnScored,numTotal,overviewText
0,Abalone,4,1,0,6.808,5,3,8,"Look for abalone that's farmed using enclosed methods. Then look for abalone farmed in sea ranches, but know that there are environmental issues with this open bottom culture method. When used in sushi, abalone is called ""awabi."""
1,Amberjack,4,17,6,4.00074074074074,27,0,27,
2,Anchovy,0,0,20,2.1299,20,2,22,"Look for other “Best Choice” seafood. Say, “No, thanks” to European anchovies caught in the Mediterranean region."
3,Arctic Char,6,1,0,5.821428571428572,7,1,8,"Look for Arctic char farmed in the U.S., Canada and Iceland in raceways or caught in Canada’s Cambridge Bay. Arctic char is also a “Best Choice” when farmed in indoor recirculating tanks with wastewater treatment and a “Good Alternative” when the wastewater isn’t treated. Arctic char is called “iwana” in sushi."
4,Barnacle,1,0,0,4.73,1,0,1,"Barnacles are a ""Best Choice"" when they're collected with hand implements in British Columbia, Canada."
5,Bass,4,4,2,5.3484,10,0,10,"Look for U.S.-farmed sunshine bass. Bass is also a “Best Choice” when farmed in indoor recirculating tanks with wastewater treatment and a “Good Alternative” when the wastewater isn't treated. Then look for “Good Alternative” striped bass caught in the U.S. with handlines and hand-operated pole-and-lines or farmed in Mexico, but know that there are environmental concerns with these sources. Say, “No, thanks” to striped bass caught in the U.S. with set gillnets or stationary uncovered pound nets. Bass is called ""suzuki"" in sushi."
6,Bluefish,1,2,0,3.143333333333333,3,0,3,"Buy bluefish caught in the U.S. Atlantic with handlines and hand-operated pole-and-lines. Then look for bluefish caught with set gillnets or bottom trawls in the U.S. Atlantic, but know that there are bycatch concerns with these sources."
7,Bowfin,0,1,0,2.871,1,0,1,"Look for other ""Best Choice"" seafood options first. If none are available, bowfin caught in Louisiana is a ""Good Alternative,"" but know there are some environmental concerns with this source. Bowfin roe is the primary commercial product."
8,Bream,1,2,7,3.2829,10,0,10,"Bream is a “Best Choice” when farmed in indoor recirculating tanks with wastewater treatment and a “Good Alternative” when the wastewater isn’t treated. Black seabream caught in the English Channel by French fleets with midwater trawls is also a “Good Alternative.” Take a pass on farmed gilthead bream from Egypt, Turkey and the European Union as well as black seabream caught in the English Channel by French fleets with bottom trawls or U.K. fleets with any fishing gear."
9,Brill,0,1,2,1.9043333333333334,3,0,3,"Look for other ""Best Choice"" seafood options first. If none are available, brill caught in the U.K. with combined gillnets-trammel nets is a ""Good Alternative,"" but know that it’s caught with at-risk species. Say, “No, thanks” if the brill is caught in the U.K. with bottom trawls or beam trawls."
10,Butterfish,0,4,2,2.2866666666666666,6,0,6,"Look for other ""Best Choice"" seafood options first. If none are available, Antarctic butterfish (aka bluenose) caught with bottom longlines or midwater trawls in New Zealand is a ""Good Alternative,"" but know that there's bycatch of seabirds. Say, ""No, thanks"" to Antarctic butterfish caught in New Zealand with bottom trawls."
11,Cabezon,0,2,0,2.9675000000000002,2,0,2,"Look for other ""Best Choice"" seafood options first. If none are available, cabezon caught on the U.S. West Coast is a ""Good Alternative,"" but know it's caught with species that are depleted and/or undergoing overfishing."
12,Capelin,0,6,0,2.6341666666666663,6,2,8,"Capelin caught in Canada is a ""Good Alternative."" Canada primarily exports egg-bearing females to Asia where the roe is transformed into ""masago,"" a sushi ingredient. The secondary exports are fishmeal (for use as fertilizer or animal feed) or whole fish (for use as animal feed, mainly by zoos and aquariums). In Canada, capelin is sold as bait or fishmeal."
13,Carp,1,73,0,3.2955540540540538,74,1,75,"Look for carp caught with trap nets in the U.S. Great Lakes. Then look for carp from other U.S. sources, but know it may be caught with at-risk species."
14,Catfish,9,3,3,4.952666666666668,15,5,20,"Look for catfish farmed in the U.S. or blue catfish caught in the Chesapeake Bay. Catfish is also a “Best Choice” when farmed in indoor recirculating tanks with wastewater treatment and a “Good Alternative” when the wastewater isn't treated. If you don’t know where the catfish is from and how it was caught or farmed, look for other “Best Choice” seafood. Say ""No, thanks"" to all other sources of imported farmed catfish (aka pangasius) except when it’s certified by ASC, BAP or Naturland."
15,Clams,6,15,0,4.061333333333335,21,12,33,"Farmed clams are a “Best Choice” except yellow-rated Pacific geoduck clams cultivated on the seafloor in Washington and British Columbia, Canada. Wild clams harvested with hand implements from the U.S. and Canada are “Best Choices” or “Good Alternatives.” “Hamaguri” is one of several sushi names for clams. “Mirugai” is the sushi name for Pacific geoduck clams."
16,Cobia,4,3,0,4.577714285714285,7,0,7,"Look for cobia caught in the U.S. with drift gillnets or handlines and hand-operated pole-and-lines. Cobia is also a “Best Choice” when farmed in indoor recirculating tanks with wastewater treatment and a “Good Alternative” when the wastewater isn't treated. Then look for cobia from the following “Good Alternative” sources: 1) caught in the U.S. Gulf of Mexico with set longlines, 2) farmed in Panama in marine net pens, and 3) farmed worldwide in indoor recirculating tanks without wastewater treatment. However, know there are environmental concerns with these sources."
17,Cockles,5,0,0,4.868599999999999,5,4,9,Bon Appétit! Farmed cockles and wild New Zealand cockles are “Best Choices.”
